Color,Distance,Group
Blue,3,KasaineCasper
Yellow,8,KasaineCasper
White,13,KasaineCasper
Pink,0,KasaineCasper
Pink,5,KasaineCasper
White,0,KasaineCasper
Blue,2,KasaineCasper
Yellow,6,KasaineCasper
Blue,7,KasaineCasper
Red,0,KasaineCasper
Red,3,KasaineCasper
Blue,3,KasaineCasper
Blue,4,KasaineCasper
Pink,4,KasaineCasper
Yellow,5,KasaineCasper
Yellow,6,KasaineCasper
Yellow,5,KasaineCasper
White,1,KasaineCasper
White,0,KasaineCasper
Pink,3,KasaineCasper
Blue,6,KasaineCasper
Cream,2,KasaineCasper
Yellow,5,KasaineCasper
Red,6,KasaineCasper
White,9,KasaineCasper
Yellow,10,KasaineCasper
Red,5,KasaineCasper
White,0,KasaineCasper
Pink,3,KasaineCasper
Pink,3,KasaineCasper
Yellow,3,KasaineCasper
Red,3,KasaineCasper
Yellow,4,KasaineCasper
Red,2,KasaineCasper
White,4,KasaineCasper
Red,8,KasaineCasper
Yellow,1,KasaineCasper
Blue,4,KasaineCasper
Yellow,10,KasaineCasper
Blue,2,KasaineCasper
Cream,5,KasaineCasper
Yellow,4,KasaineCasper
Blue,6,KasaineCasper
Red,2,KasaineCasper
White,5,KasaineCasper
Brown,1,KasaineCasper
Black,1,KasaineCasper
Red,3,KasaineCasper
Pink,1,KasaineCasper
Black,1,KasaineCasper
Blue,5,KasaineCasper
Blue,4,KasaineCasper
Brown,0,KasaineCasper
Red,3,KasaineCasper
Brown,3,KasaineCasper
White,1,KasaineCasper
Pink,4,KasaineCasper
White,6,KasaineCasper
Cream,4,KasaineCasper
White,3,KasaineCasper
Red,4,KasaineCasper
White,5,KasaineCasper
Yellow,9,KasaineCasper
Pink,2,KasaineCasper
Pink,0,KasaineCasper
Yellow,0,KasaineCasper
Cream,5,KasaineCasper
Blue,7,KasaineCasper
Red,6,KasaineCasper
Brown,0,KasaineCasper
Red,6,KasaineCasper
Red,5,KasaineCasper
Brown,0,KasaineCasper
White,2,KasaineCasper
Red,8,KasaineCasper
Blue,4,KasaineCasper
Yellow,6,KasaineCasper
Yellow,8,KasaineCasper
Black,4,KasaineCasper
White,6,KasaineCasper
Red,6,KasaineCasper
Yellow,6,KasaineCasper
Pink,10,KasaineCasper
Pink,3,KasaineCasper
Brown,2,KasaineCasper
Pink,5,KasaineCasper
Blue,10,KasaineCasper
White,3,KasaineCasper
Blue,4,KasaineCasper
White,1,KasaineCasper
Blue,0,KasaineCasper
Blue,5,KasaineCasper
Brown,4,KasaineCasper
Pink,10,KasaineCasper
White,11,KasaineCasper
Yellow,4,KasaineCasper
White,4,KasaineCasper
White,6,KasaineCasper
Yellow,1,KasaineCasper
Yellow,0,KasaineCasper
Yellow,4,KasaineCasper
Red,2,KasaineCasper
Red,7,KasaineCasper
