Color,Distance,Group
Yellow,1,LokitelaGitau
White ,5,LokitelaGitau
Blue,6,LokitelaGitau
Blue,9,LokitelaGitau
Red,6,LokitelaGitau
Blue,6,LokitelaGitau
Yellow,8,LokitelaGitau
Blue,2,LokitelaGitau
Blue,8,LokitelaGitau
Pink,2,LokitelaGitau
White ,7,LokitelaGitau
Yellow,8,LokitelaGitau
Pink,1,LokitelaGitau
Pink,2,LokitelaGitau
Blue,10,LokitelaGitau
Yellow,8,LokitelaGitau
Pink,1,LokitelaGitau
Brown,1,LokitelaGitau
White ,4,LokitelaGitau
Red,5,LokitelaGitau
Blue,6,LokitelaGitau
White ,2,LokitelaGitau
Red,5,LokitelaGitau
Black,1,LokitelaGitau
white ,9,LokitelaGitau
Red,9,LokitelaGitau
Pink,1,LokitelaGitau
White ,1,LokitelaGitau
yellow,2,LokitelaGitau
red,8,LokitelaGitau
White ,8,LokitelaGitau
White ,12,LokitelaGitau
pink,1,LokitelaGitau
White ,1,LokitelaGitau
Yellow,8,LokitelaGitau
Red,4,LokitelaGitau
Yellow,2,LokitelaGitau
Red,4,LokitelaGitau
Pink,7,LokitelaGitau
red,4,LokitelaGitau
Blue,4,LokitelaGitau
White ,6,LokitelaGitau
Yellow,6,LokitelaGitau
Blue,1,LokitelaGitau
red,1,LokitelaGitau
Brown,4,LokitelaGitau
Yellow,7,LokitelaGitau
pink,7,LokitelaGitau
red,2,LokitelaGitau
red,12,LokitelaGitau
pink,10,LokitelaGitau
Black,8,LokitelaGitau
Yellow,6,LokitelaGitau
Cream,3,LokitelaGitau
Blue,5,LokitelaGitau
White ,4,LokitelaGitau
Black,4,LokitelaGitau
Cream,4,LokitelaGitau
White ,9,LokitelaGitau
Blue,12,LokitelaGitau
red,4,LokitelaGitau
Cream,2,LokitelaGitau
Cream,3,LokitelaGitau
Yellow,0,LokitelaGitau
Yellow,4,LokitelaGitau
pink,5,LokitelaGitau
White ,5,LokitelaGitau
Red,10,LokitelaGitau
Pink,12,LokitelaGitau
blue,4,LokitelaGitau
Blue,7,LokitelaGitau
blue,11,LokitelaGitau
pink,6,LokitelaGitau
red,5,LokitelaGitau
Yellow,1,LokitelaGitau
cream,5,LokitelaGitau
Red,3,LokitelaGitau
Yellow,8,LokitelaGitau
black,6,LokitelaGitau
red,6,LokitelaGitau
White ,1,LokitelaGitau
Black,5,LokitelaGitau
Yellow,6,LokitelaGitau
Blue,12,LokitelaGitau
White ,2,LokitelaGitau
Yellow,6,LokitelaGitau
red,7,LokitelaGitau
White ,11,LokitelaGitau
Blue,2,LokitelaGitau
White ,6,LokitelaGitau
red,9,LokitelaGitau
pink,12,LokitelaGitau
red,13,LokitelaGitau
White ,3,LokitelaGitau
White ,9,LokitelaGitau
Pink,2,LokitelaGitau
White ,4,LokitelaGitau
Yellow,5,LokitelaGitau
Black,1,LokitelaGitau
Red,0,LokitelaGitau
White ,1,LokitelaGitau
Pink,5,LokitelaGitau
White ,6,LokitelaGitau
Pink,10,LokitelaGitau
Brown,2,LokitelaGitau
Black,3,LokitelaGitau
Yellow,5,LokitelaGitau
Blue,6,LokitelaGitau
Pink,8,LokitelaGitau
red,2,LokitelaGitau
Blue,5,LokitelaGitau
Blue,12,LokitelaGitau
Red,8,LokitelaGitau
Brown,2,LokitelaGitau
Black,3,LokitelaGitau
Brown,5,LokitelaGitau
Black,5,LokitelaGitau
Pink,1,LokitelaGitau
blue,3,LokitelaGitau
Red,3,LokitelaGitau
White ,2,LokitelaGitau
