Color,Distance,Group
Pink,0,Gideon
Black,1,Gideon
Blue,4,Gideon
White,0,Gideon
Blue,1,Gideon
White,1,Gideon
Red,0,Gideon
Red,3,Gideon
Blue,3,Gideon
Blue,3,Gideon
Pink,5,Gideon
Yellow,6,Gideon
Pink,7,Gideon
White,1,Gideon
White,0,Gideon
White,10,Gideon
Brown,2,Gideon
Pink,4,Gideon
Blue,7,Gideon
Red,6,Gideon
Yellow,10,Gideon
Yellow,15,Gideon
White,0,Gideon
Red,4,Gideon
Yellow,6,Gideon
Cream,6,Gideon
Red,6,Gideon
Pink,6,Gideon
Yellow,6,Gideon
Pink,0,Gideon
Yellow,1,Gideon
Red,1,Gideon
White,5,Gideon
Yellow,0,Gideon
Blue,5,Gideon
White,7,Gideon
Black,7,Gideon
Cream,6,Gideon
Cream,10,Gideon
Blue,2,Gideon
Blue,8,Gideon
White,8,Gideon
Yellow,4,Gideon
Cream,0,Gideon
Black,1,Gideon
Red,5,Gideon
White,2,Gideon
Yellow,10,Gideon
Pink,0,Gideon
Pink,5,Gideon
Blue,3,Gideon
Pink,12,Gideon
Red,1,Gideon
Black,2,Gideon
Brown,2,Gideon
Cream,3,Gideon
White,2,Gideon
White,10,Gideon
White,1,Gideon
Red,5,Gideon
Blue,6,Gideon
Pink,1,Gideon
Pink,4,Gideon
Cream,8,Gideon
Blue,10,Gideon
Black,1,Gideon
Red,4,Gideon
Red,5,Gideon
Brown,0,Gideon
Black,1,Gideon
White,1,Gideon
Black,1,Gideon
Red,10,Gideon
Pink,10,Gideon
Cream,12,Gideon
Pink,1,Gideon
Cream,0,Gideon
Pink,2,Gideon
Red,5,Gideon
Yellow,5,Gideon
White,2,Gideon
Blue,3,Gideon
Brown,1,Gideon
Brown,5,Gideon
White,0,Gideon
Blue,0,Gideon
White,0,Gideon
Yellow,1,Gideon
Yellow,0,Gideon
