Color,Distance,Group
Pink,0,Koileken
Blue,4,Koileken
White,0,Koileken
Blue,2,Koileken
White,1,Koileken
Brown,0,Koileken
Red,0,Koileken
White,0,Koileken
Brown,3,Koileken
Pink,5,Koileken
Natural,2,Koileken
White,0,Koileken
Brown,4,Koileken
Yellow,1,Koileken
Pink,0,Koileken
Red,2,Koileken
Yellow,0,Koileken
Yellow,6,Koileken
Blue,3,Koileken
Red,1,Koileken
Natural,1,Koileken
White,1,Koileken
Pink,0,Koileken
Black,1,Koileken
Brown,0,Koileken
Black,2,Koileken
White,2,Koileken
White,2,Koileken
Red,4,Koileken
Blue,4,Koileken
Pink,0,Koileken
Yellow,0,Koileken
Brown,0,Koileken
Black,0,Koileken
Pink,1,Koileken
Black,2,Koileken
Blue,0,Koileken
Yellow,0,Koileken
Red,3,Koileken
